,temp,APC（E2步骤）,source_RF（E2步骤）,LF_RF（E2步骤）,SF6（E2步骤）,C4F8（DEP步骤）,DEP time,etch time,,Zmin_1,Zmin_2,Zmin_3,Zmin_4,Zmin_5,Zmin_6,Zmin_7,Zmin_8,Zmin_9,Zmin_9_2,F_Flux_1,F_Flux_2,F_Flux_3,F_Flux_4,F_Flux_5,F_Flux_6,F_Flux_7,F_Flux_8,F_Flux_9,F_Flux_9_2,Ion_Flux_1,Ion_Flux_2,Ion_Flux_3,Ion_Flux_4,Ion_Flux_5,Ion_Flux_6,Ion_Flux_7,Ion_Flux_8,Ion_Flux_9,Ion_Flux_9_2,h0_1,h0_2,h0_3,h0_4,h0_5,h0_6,h0_7,h0_8,h0_9,h1_1,h1_2,h1_3,h1_4,h1_5,h1_6,h1_7,h1_8,h1_9,d0_1,d0_2,d0_3,d0_4,d0_5,d0_6,d0_7,d0_8,d0_9,d1_1,d1_2,d1_3,d1_4,d1_5,d1_6,d1_7,d1_8,d1_9,w1,w2,w3,w4,w5,w6,w7,w8,w9
cas1,-20,10,2500,25,300,350,2.2,1.8,case1,-0.186797618,-0.359550481,-0.536556206,-0.702794868,-0.864512396,-1.017203378,-1.167511812,-1.314057901,-1.45483808,-1.45890103,0.020895692,0.019159191,0.017561869,0.016294837,0.015238747,0.014663804,0.013919421,0.01320082,0.012748223,0.012865395,0.008126985,0.008104779,0.008081929,0.008052582,0.008005196,0.007927803,0.007820515,0.007637418,0.007442561,0.007460043,-0.151022428,0.160928584,0.161213913,0.151797874,0.148088515,0.165779284,0.212859443,0.116987058,0.190223932,-0.154446438,0.16121392,0.154080548,0.151512533,0.152083227,0.188606041,0.131539123,0.218298844,0.147120356,0.042804269,0.032457794,0.021187795,0.020578451,0.01506476,0.01221707,0.011404041,0.003239761,0.005073658,0.043166378,0.030920182,0.024004229,0.017476852,0.01145368,0.013331953,0.007913894,0.009615172,-6.16E-05,0.339927842,0.31733517,0.305906923,0.30341255,0.29478867,0.29518111,0.252215548,0.246094357,0.262679158
cas2,-20,15,2500,25,300,350,2.2,1.8,case2,-0.2054043,-0.404065497,-0.59655925,-0.777344416,-0.958000778,-1.127809551,-1.293006267,-1.455465518,-1.60881278,-1.613418044,0.031211982,0.028631455,0.026150794,0.024901454,0.023123542,0.022455866,0.021313693,0.020287453,0.020194875,0.020038946,0.009371999,0.009367375,0.00930877,0.009266863,0.009124418,0.008916555,0.00880172,0.008404239,0.008039394,0.008121561,-0.171566499,0.179760656,0.18175797,0.163781924,0.157710876,0.165572975,0.194312675,0.189462015,0.209492455,-0.174134508,0.170629951,0.178333976,0.173524039,0.158890469,0.167776636,0.180944783,0.181690267,0.227493416,0.058835442,0.04514572,0.033284055,0.030284257,0.029692675,0.024157113,0.021638281,0.016213171,0.008521443,0.057031209,0.044579837,0.040840116,0.033376725,0.027142067,0.023283361,0.024134525,0.014945875,0.009963042,0.371228925,0.34508783,0.33645011,0.330166613,0.326334676,0.31840988,0.314766301,0.264919295,0.279689966
cas3,-20,20,2500,25,300,350,2.2,1.8,case3,-0.218889315,-0.425835077,-0.627372695,-0.820496715,-1.008396544,-1.188801812,-1.36248362,-1.530666964,-1.692659723,-1.697645933,0.042271175,0.037799335,0.035461972,0.03352836,0.031623598,0.030563519,0.028688995,0.02785306,0.027619559,0.02728594,0.010280247,0.010295586,0.010205712,0.010104807,0.009943748,0.009602934,0.009318782,0.008961958,0.008632384,0.008555432,-0.190113236,0.19003268,0.18461132,0.178619317,0.175480638,0.172627304,0.162925873,0.174909949,0.268325614,-0.18868656,0.187179342,0.191744685,0.181472651,0.169773945,0.16463794,0.183469977,0.157504559,0.273176274,0.072908823,0.055110858,0.050131757,0.048723245,0.039272878,0.032908743,0.036077384,0.028379345,0.02698088,0.073176724,0.060328032,0.052749196,0.040025997,0.03543598,0.031538003,0.031348784,0.029238022,0.026720397,0.402723327,0.37207667,0.368278137,0.361831799,0.352096113,0.344323515,0.348996183,0.339720372,0.335337668
cas4,-20,25,2500,25,300,350,2.2,1.8,case4,-0.227339244,-0.442882378,-0.649631449,-0.847279638,-1.041596595,-1.225045451,-1.400545737,-1.574492761,-1.742985917,-1.748097226,0.052105113,0.047298382,0.044001903,0.041519826,0.039530839,0.037647359,0.036397463,0.03564437,0.035040266,0.034343152,0.010891059,0.010844176,0.010842024,0.010671482,0.010349175,0.01009482,0.00963179,0.009240851,0.008929996,0.00894537,-0.19781726,0.209720763,0.192029996,0.188320688,0.175765983,0.181005716,0.176518219,0.16092859,0.265990012,-0.192102175,0.209158487,0.191459345,0.19060335,0.177656327,0.175302267,0.180045979,0.165134209,0.266635088,0.083903614,0.071393998,0.0609375,0.054077633,0.050901896,0.045796532,0.046623257,0.041406119,0.029698828,0.085086079,0.066932056,0.064664703,0.051159953,0.05068254,0.041089,0.037172001,0.034509391,0.035862946,0.432283252,0.401619613,0.393822683,0.382687671,0.38433939,0.376114397,0.376030045,0.369867501,0.361265573
cas5,-20,30,2500,25,300,350,2.2,1.8,case5,-0.236675518,-0.464717674,-0.67755991,-0.88098735,-1.083408405,-1.275760638,-1.460599137,-1.639940688,-1.811363072,-1.816643209,0.060886493,0.055913383,0.052039353,0.04995845,0.046280678,0.045462802,0.042777112,0.042327129,0.040519533,0.039683463,0.011275014,0.011084519,0.010993085,0.010955214,0.010512056,0.010351286,0.009755037,0.00933439,0.008792508,0.008756743,-0.211513309,0.216854119,0.212075344,0.198160606,0.188087668,0.174361825,0.187179327,0.170344608,0.258066404,-0.212654648,0.208864751,0.206011397,0.200019377,0.190603358,0.18090197,0.178048645,0.168104802,0.271434261,0.10009067,0.079959824,0.075773032,0.062498345,0.060394489,0.056030101,0.052682002,0.050865782,0.042467026,0.09820796,0.082525475,0.072183541,0.065073161,0.060172371,0.051515228,0.050519802,0.045124294,0.034880264,0.461646125,0.425832795,0.418674469,0.408436034,0.406088581,0.396774323,0.399158295,0.399003209,0.386136453
cas6,-20,35,2500,25,300,350,2.2,1.8,case6,-0.249158368,-0.47876032,-0.700318897,-0.918795473,-1.126106195,-1.328342059,-1.521653023,-1.714891451,-1.895495695,-1.90098249,0.071609231,0.063262908,0.058957287,0.057252519,0.054230604,0.051784194,0.050678302,0.048538263,0.04675001,0.046221403,0.011180451,0.011253401,0.010763976,0.010904928,0.010515846,0.010001859,0.009611458,0.009146824,0.008573477,0.008582716,-0.225424196,0.214747919,0.226734821,0.209150093,0.188733305,0.199836424,0.184381655,0.181441052,0.270533025,-0.229489373,0.220563459,0.217139448,0.20515539,0.200304738,0.195954118,0.183482357,0.179533567,0.269360039,0.112133384,0.094674356,0.077293588,0.074863507,0.067415872,0.05818701,0.057863229,0.050412657,0.043285473,0.113498972,0.09592894,0.088351504,0.074444003,0.068450853,0.063110717,0.061885976,0.052539558,0.042213086,0.489318024,0.454288963,0.448248869,0.434084932,0.427982202,0.420301934,0.425259409,0.414184855,0.407850869
cas7,-20,40,2500,25,300,350,2.2,1.8,case7,-0.264188872,-0.50618255,-0.738798302,-0.964450762,-1.181697408,-1.391972946,-1.592106449,-1.789194065,-1.978340745,-1.983936249,0.078388137,0.071032513,0.066115855,0.06368541,0.061741829,0.057626467,0.055792973,0.054368569,0.05229785,0.051416174,0.010818415,0.010787004,0.010675131,0.01036926,0.009894289,0.009551876,0.009009426,0.008590979,0.008187468,0.00821869,-0.241188083,0.230550166,0.231691492,0.217995473,0.201446014,0.205726079,0.191474387,0.196640423,0.267224131,-0.243756098,0.237968849,0.223987473,0.226270156,0.205440717,0.198531577,0.194992065,0.189009939,0.263979374,0.122943568,0.105359029,0.088547571,0.079523537,0.071314677,0.070433973,0.062158169,0.050264061,0.051953358,0.125343246,0.106175456,0.096491944,0.082709749,0.084864466,0.074566825,0.067314677,0.058560147,0.048566551,0.518447484,0.481695155,0.470185757,0.456241784,0.400567905,0.448554073,0.440480975,0.436473548,0.429486239
cas8,-20,45,2500,25,300,350,2.2,1.8,case8,-0.279571259,-0.537454109,-0.783012041,-1.021127228,-1.254692532,-1.475824373,-1.68713152,-1.893775165,-2.091885268,-2.09797373,0.086641515,0.076838182,0.072016906,0.068702956,0.064458538,0.062394607,0.060350732,0.058732128,0.058271587,0.057366593,0.009966316,0.009888122,0.009853535,0.009401024,0.009093379,0.008547637,0.008087188,0.007607676,0.007166074,0.007153063,-0.252886798,0.251950221,0.240822213,0.221786329,0.224933147,0.216397558,0.20658212,0.192803587,0.289811756,-0.256881471,0.252520906,0.238985045,0.231245986,0.218280767,0.210862092,0.214356525,0.203856826,0.270984113,0.132982979,0.110920384,0.098148064,0.083483489,0.07615803,0.068843517,0.066824263,0.058045393,0.056431849,0.135798788,0.113915711,0.106319141,0.085021368,0.079763974,0.073445806,0.069605681,0.062006747,0.054936112,0.547007045,0.503061373,0.493570146,0.475240456,0.467877001,0.459451847,0.462173679,0.396681391,0.452664583
cas9,-20,50,2500,25,300,350,2.2,1.8,case9,-0.295243246,-0.569169741,-0.826638114,-1.077129304,-1.319473752,-1.550975497,-1.772965644,-1.99141345,-2.197765734,-2.204270585,0.094084308,0.083182762,0.076721846,0.073852396,0.070949183,0.067433811,0.065593608,0.062797146,0.060990533,0.059981064,0.008607232,0.008636631,0.008500759,0.008270954,0.007894967,0.007403434,0.007032367,0.006700673,0.006284847,0.006217006,-0.278590462,0.262769363,0.251094231,0.244246244,0.232547488,0.221704756,0.222980755,0.199314117,0.29102317,-0.274001543,0.264790267,0.257371587,0.233688857,0.236256838,0.225138341,0.214561922,0.207760215,0.290701015,0.147051521,0.126928036,0.113454332,0.102828944,0.087763568,0.082661502,0.073494787,0.067497261,0.055478131,0.147693346,0.126620945,0.107543074,0.101604903,0.086172935,0.08034738,0.074493721,0.065592654,0.054365438,0.568942863,0.527746978,0.510467202,0.503998509,0.489035443,0.483855771,0.484276715,0.475961824,0.466225553
cas10,-20,55,2500,25,300,350,2.2,1.8,case10,-0.315221065,-0.610474452,-0.88763138,-1.154221433,-1.405225289,-1.646994812,-1.876359382,-2.105890962,-2.320764193,-2.327775615,0.099519878,0.089035987,0.081961159,0.077609785,0.072777162,0.070004832,0.067719831,0.066654465,0.064259826,0.063222033,0.007510509,0.007293785,0.007241247,0.006824314,0.006690215,0.006246743,0.005820018,0.005576178,0.005187887,0.005287554,-0.295554331,0.279189612,0.274776978,0.260224938,0.238254207,0.236908487,0.232978514,0.212459087,0.297429459,-0.299396298,0.280769012,0.271638291,0.255944925,0.251566683,0.232028893,0.22603098,0.210006067,0.300394467,0.158574097,0.139191048,0.116119858,0.104344605,0.093629964,0.08451586,0.079787441,0.073870079,0.05861151,0.161508635,0.141087666,0.122550737,0.107818127,0.092439819,0.094218041,0.083343872,0.073559662,0.063981861,0.590843176,0.551039159,0.53052876,0.512098032,0.498780913,0.50393789,0.499228337,0.491107586,0.486704187
